#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
632,-0.19%,286,-1.10%,297,4.20%,676,420,,,
506,-0.28%,224,-2.56%,122,41.70%,913,420,,,
532,0.25%,662,-1.94%,180,-8.92%,419,420,,,
711,0.02%,472,-1.72%,195,-1.48%,595,421,,,
64,-0.09%,364,2.94%,810,-25.60%,90,421,,,
825,-0.01%,432,0.41%,536,-13.46%,296,421,,,
206,0.49%,800,-2.32%,143,-12.40%,321,421,,,
48,0.03%,484,1.59%,700,-25.94%,81,422,,,
975,0.23%,644,-0.40%,408,-17.55%,215,422,,,
842,-0.15%,314,0.56%,563,-10.12%,391,423,,,
779,0.06%,508,-0.41%,406,-11.28%,355,423,,,
823,0.41%,756,-1.33%,262,-15.60%,253,424,,,
210,-0.06%,395,0.55%,560,-12.47%,316,424,,,
360,0.01%,455,1.15%,647,-19.61%,172,425,,,
557,0.03%,482,0.83%,609,-18.79%,183,425,,,
389,0.24%,654,0.53%,557,-26.71%,65,425,,,
631,-1.72%,39,0.67%,584,2.59%,653,425,,,
754,-0.37%,197,-0.53%,387,5.15%,693,426,,,
466,-0.54%,153,-1.68%,202,45.39%,924,426,,,
541,-0.27%,235,0.07%,475,-2.91%,571,427,,,
800,0.12%,560,-4.47%,42,4.44%,679,427,,,
934,0.22%,641,-0.09%,449,-18.25%,193,428,,,
928,-0.10%,352,0.68%,587,-11.60%,345,428,,,
763,-0.08%,380,0.40%,535,-10.82%,373,429,,,
843,-0.56%,149,1.57%,694,-7.87%,445,429,,,
797,-0.37%,196,-0.25%,431,3.27%,661,429,,,
924,-0.16%,312,0.85%,614,-11.12%,364,430,,,
257,-0.09%,362,-3.18%,87,24.54%,841,430,,,
873,-0.02%,425,1.02%,632,-16.48%,234,430,,,
874,0.29%,687,-0.38%,411,-18.22%,194,431,,,
959,0.28%,675,-0.54%,386,-16.55%,233,431,,,
925,0.07%,527,-0.68%,362,-9.48%,405,431,,,
450,0.31%,704,-3.04%,92,-6.01%,499,432,,,
482,-0.03%,419,-3.44%,69,18.41%,809,432,,,
34,-0.77%,109,-0.46%,399,14.28%,790,433,,,
234,-0.23%,260,4.35%,874,-19.86%,166,433,,,
603,0.19%,617,1.33%,667,-30.67%,17,434,,,
962,-0.89%,98,1.54%,692,-5.49%,511,434,,,
410,0.15%,579,1.67%,708,-30.90%,16,434,,,
712,0.05%,502,-2.05%,166,1.32%,636,435,,,
456,0.05%,505,-4.28%,47,9.70%,754,435,,,
327,0.13%,568,-0.15%,441,-13.32%,298,436,,,
880,-0.04%,411,0.29%,512,-10.36%,384,436,,,
708,0.45%,788,-2.15%,157,-11.13%,363,436,,,
878,-0.01%,440,0.40%,533,-11.73%,339,437,,,
562,-0.28%,228,3.19%,825,-15.29%,261,438,,,
724,0.33%,714,-1.57%,218,-10.52%,382,438,,,
961,-0.01%,436,-1.27%,273,-0.88%,606,438,,,
521,0.14%,572,-1.07%,307,-8.18%,437,439,,,
792,0.37%,734,-2.46%,131,-7.68%,452,439,,,
635,-0.05%,406,-0.32%,423,-6.38%,493,441,,,
438,1.03%,945,-1.53%,227,-20.90%,151,441,,,
